集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-08-15,nd946a5f905a2,KITAcoreのAI×思考ログへようこそ — プロンプト設計、アート、そして人生のログプレイ,274,1,272,2535,837,60,33.02,3.13,9.5,54.0,137.0,204.0,1.0,7.0,10.3,1.335,0.302,🌱 遅咲き型,87.5
2026-08-15,n8859539783be,北向きの給湯器は“日陰者”のヒーローだった！？～故障の原因は、まさかの「愛」の欠如？～,338,65,272,75,11,0,14.67,8.53,0.0,,,,,,,,0.769,❓ データ不足,80.2
2026-08-15,n8551a6a14870,生成AIで「調査チーム」を作ってみた〜GPT・Gemini・Grok・Perplexityの役割分担〜,324,51,272,131,22,0,16.79,-0.28,0.0,,,,,,,,0.748,❓ データ不足,80.1
2026-08-15,n3fbdcd94294e,AIの回答を劇的改善！プロンプトの型と時短テクニック,323,50,272,71,10,0,14.08,7.15,0.0,,,,,,,,0.743,❓ データ不足,79.9
2026-08-15,n4a8030d105a4,関数電卓から生成AIへ──研究者が体感した“誰でもできる”データ分析時代,335,62,272,130,21,0,16.15,4.26,0.07,,,,,,,,0.734,❓ データ不足,79.9
2026-08-15,n806a5cdbee60,浴びた光を「見える化」する,341,68,272,74,11,0,14.86,6.3,0.07,,,,,,,,0.735,❓ データ不足,79.8
2026-08-15,ncf485b303b59,使い方で、製品寿命が変わる？！,341,68,272,69,11,0,15.94,9.76,0.0,,,,,,,,0.709,❓ データ不足,79.6
2026-08-15,nbb8ac2f5091d,PythonでExcel集計を自動化する3手順,747,474,272,54,9,2,16.67,12.15,0.14,,,,,,,,0.709,❓ データ不足,79.6
2026-08-15,n5d6f1b58cb06,Apple Watchで「日光」を見える化してみたら〜Time in Daylightの体験とユーザーの声〜,328,55,272,76,9,0,11.84,5.55,0.07,,,,,,,,0.748,❓ データ不足,79.6
2026-08-15,n590ba35c7a41,なぜ部下はあの人の言葉で動くのか？ ― マネジメントと生成AIに効く『動かす心理学』,320,47,272,103,24,0,23.3,2.93,0.0,,,,,,,,0.701,❓ データ不足,79.5
2026-08-15,nf26bbd40f67d,辞書奴隷からAI宇宙旅行へ──論文翻訳の進化史,332,59,272,53,11,3,20.75,8.47,0.0,,,,,,,,0.687,❓ データ不足,79.3
2026-08-15,n3f384bcc700c,【衝撃】ワイが組んだAI「調査チーム」の役割分担、ガチでプロの「AI戦略」と完全一致してた件,290,17,272,150,22,2,14.67,1.04,0.0,,,,,,,,0.692,❓ データ不足,79.3
2026-08-15,n8307b08e003d,「モジュールってなんだよ！」 理系研究者がAIに裏切られ、初めてのPythonで叫ぶ,319,46,272,117,22,0,18.8,1.63,0.0,,,,,,,,0.67,❓ データ不足,79.1
2026-08-15,nef0eee72e29d,生成AIで調査チーム作ったら、頼もしすぎる奴らが集まった話,309,36,272,257,28,0,10.89,1.1,0.0,,,,,,,,0.698,❓ データ不足,78.7
2026-08-15,n08c433ea540a,データ分析の最初の敵！Pandasで汚いカラムをクリーンにする五大魔法,312,39,272,193,23,0,11.92,2.12,0.07,,,,,,,,0.674,❓ データ不足,78.7
2026-08-15,n26322a0b20c1,太陽に焼かれて死ぬ！？あなたの知らないタイヤ寿命の秘密,337,64,272,56,11,0,19.64,10.41,0.0,,,,,,,,0.632,❓ データ不足,78.5
2026-08-15,nd3bf83ee8270,光を浴びるだけで整う〜朝の自然光と“体内リズム”の科学〜,343,70,272,58,11,2,18.97,10.17,0.07,,,,,,,,0.622,❓ データ不足,78.3
2026-08-15,nbc8e22ad7cc7,AIが人の話を聞かない夜に──冷蔵庫GPTが教えてくれた“対話設計”の魔法,299,26,272,274,25,0,9.12,0.52,0.0,,,,,,,,0.747,❓ データ不足,78.3
2026-08-15,nc29de171f59d,朝ごはんと日光浴のゴールデンコンビ──時間栄養学の視点から,331,58,272,62,10,2,16.13,2.63,0.0,,,,,,,,0.623,❓ データ不足,78.3
2026-08-15,n661120ea1cb3,【AIアート/イラスト】Are You Still There ─ 記憶が光になる瞬間 ＃106,280,111,170,176,26,11,14.77,0.36,0.07,,,,,,,,0.605,❓ データ不足,77.9
2026-08-15,n3a0a768238a3,AIシェフと学ぶ！プログラミングは「料理のレシピ」と同じだった,333,60,272,81,17,3,20.99,3.24,0.0,,,,,,,,0.59,❓ データ不足,77.7
2026-08-15,n75c22ba2457f,日光と食事と睡眠の関係について,341,68,272,73,16,2,21.92,2.18,0.14,,,,,,,,0.589,❓ データ不足,77.7
2026-08-15,n5557170c31bb,会議あるある：現状維持バリアマン攻略法,333,60,272,50,11,0,22.0,11.97,0.07,,,,,,,,0.582,❓ データ不足,77.6
2026-08-15,n8b80b1c37c22,株価の法則はグラフが知っていた！,383,110,272,67,6,0,8.96,7.99,0.0,,,,,,,,0.698,❓ データ不足,77.6
2026-08-15,n8324b0d3c243,日光浴の知識が、社内を“小麦色”にした件― 知識の副作用は、笑えるトラブルだった,338,65,272,57,14,4,24.56,10.95,0.0,,,,,,,,0.583,❓ データ不足,77.6
2026-08-15,n94da7a52ea24,浴びている光はどこを通じて影響があるのか,342,69,272,70,17,2,24.29,7.9,0.0,,,,,,,,0.575,❓ データ不足,77.5
2026-08-15,nb5da69fd69ff,日光は見えていたのに、見えていなかった,341,68,272,74,21,3,28.38,9.69,0.0,,,,,,,,0.577,❓ データ不足,77.5
2026-08-15,ne0aee52dc40a,ワンショット型 vs 対話型──AIの使い方を整理してみた,330,57,272,52,9,0,17.31,8.92,0.0,,,,,,,,0.575,❓ データ不足,77.4
2026-08-15,n6f95c764bc62,「量産って……値下げ交渉じゃないのかよッ！？」,342,69,272,55,11,2,20.0,10.84,0.07,,,,,,,,0.575,❓ データ不足,77.4
2026-08-15,na3b1cce5678c,「Excel卒業！Pythonでデータ分析の冒険を始めよう」〜初心者向けマガジン紹介,300,27,272,461,70,4,15.18,-0.47,0.0,,,,,,,,0.577,❓ データ不足,77.4
2026-08-15,n53d27dfb0411,"雑なプロンプトが「秒速」で""プロ""仕様に変わる魔法",330,57,272,93,10,4,10.75,5.84,0.14,,,,,,,,0.617,❓ データ不足,77.4
2026-08-15,n142a69d545aa,部下のモヤっと相談を3分で解決！心理学の3択テクニック,318,45,272,142,15,2,10.56,3.29,0.0,,,,,,,,0.612,❓ データ不足,77.3
2026-08-15,n163696d4f163,「人気の壁」を越える条件とは？──データ分析で見えた“自走するSNS”の法則,288,15,272,151,15,2,9.93,1.14,0.0,,,,,,,,0.626,❓ データ不足,77.2
2026-08-15,n3a93bf679b2c,光で割れた？じゃあSPring-8で殴ってええですか。,385,112,272,90,11,11,12.22,8.87,0.0,,,,,,,,0.581,❓ データ不足,77.2
2026-08-15,nb22642a2ee59,【簡易版】Platformは、なぜ推しのアルゴリズムを公開したのか。,175,6,170,460,48,19,10.43,-0.09,0.07,,,,,,,,0.606,❓ データ不足,77.1
2026-08-15,n995baed7ded7,Gemini、お前Duolingoか！？ AI先生と“ステップ学習”が始まった日,297,24,272,226,19,0,8.41,0.76,0.0,,,,,,,,0.702,❓ データ不足,77.0
2026-08-15,n66e70669703e,「誰やねん初対面やぞ！」 アレニウス式とウイスキー熟成に隠された時間と温度の哲学,291,18,272,175,18,2,10.29,1.13,0.07,,,,,,,,0.599,❓ データ不足,76.9
2026-08-15,ncd12f1fca6d2,自己紹介 Ver.2 ─ 60日後に見えた、自分という構造,286,13,272,336,56,6,16.67,1.97,0.0,,,,,,,,0.549,❓ データ不足,76.9
2026-08-15,n7540136bf03c,srefってなんや！？魔法か？──構造じゃなく“演奏”でMidjourneyが描く世界,282,9,272,186,19,2,10.22,0.73,0.57,,,,,,,,0.6,❓ データ不足,76.9
2026-08-15,n59fdf2b8f4ae,良かれと思って水をかけたら逆効果！？──太陽電池パネルの寿命を縮める“意外な習慣”,329,56,272,76,10,0,13.16,8.59,0.21,,,,,,,,0.551,❓ データ不足,76.7
2026-08-15,n7bd39322fb23,PythonでCSV→Excel変換3ステップ,754,481,272,135,14,2,10.37,5.62,0.57,,,,,,,,0.579,❓ データ不足,76.6
