集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-04-14,nd946a5f905a2,KITAcoreのAI×思考ログへようこそ — プロンプト設計、アート、そして人生のログプレイ,151,1,150,1326,473,27,35.67,13.6,8.29,54.0,21.0,123.0,1.0,7.0,8.1,1.05,0.539,🌲 定常型,94.1
2026-04-14,nd3bf83ee8270,光を浴びるだけで整う〜朝の自然光と“体内リズム”の科学〜,220,70,150,39,4,0,10.26,0.86,0.14,,,,,,,,1.0,❓ データ不足,80.7
2026-04-14,n75c22ba2457f,日光と食事と睡眠の関係について,218,68,150,49,11,0,22.45,-0.21,0.14,,,,,,,,0.795,❓ データ不足,80.6
2026-04-14,nb5da69fd69ff,日光は見えていたのに、見えていなかった,218,68,150,51,10,0,19.61,0.07,0.07,,,,,,,,0.751,❓ データ不足,80.1
2026-04-14,n8324b0d3c243,日光浴の知識が、社内を“小麦色”にした件― 知識の副作用は、笑えるトラブルだった,215,65,150,35,7,0,20.0,1.3,0.14,,,,,,,,0.741,❓ データ不足,80.0
2026-04-14,ncf485b303b59,使い方で、製品寿命が変わる？！,218,68,150,49,6,0,12.24,2.91,0.29,,,,,,,,0.763,❓ データ不足,79.9
2026-04-14,n94da7a52ea24,浴びている光はどこを通じて影響があるのか,219,69,150,55,11,2,20.0,0.42,0.07,,,,,,,,0.73,❓ データ不足,79.9
2026-04-14,n8551a6a14870,生成AIで「調査チーム」を作ってみた〜GPT・Gemini・Grok・Perplexityの役割分担〜,201,51,150,119,17,0,14.29,-1.99,0.36,,,,,,,,0.735,❓ データ不足,79.8
2026-04-14,nf26bbd40f67d,辞書奴隷からAI宇宙旅行へ──論文翻訳の進化史,209,59,150,41,6,0,14.63,0.46,0.07,,,,,,,,0.725,❓ データ不足,79.7
2026-04-14,n4a8030d105a4,関数電卓から生成AIへ──研究者が体感した“誰でもできる”データ分析時代,212,62,150,118,15,0,12.71,0.12,0.21,,,,,,,,0.736,❓ データ不足,79.7
2026-04-14,n26322a0b20c1,太陽に焼かれて死ぬ！？あなたの知らないタイヤ寿命の秘密,214,64,150,35,4,0,11.43,0.69,0.14,,,,,,,,0.769,❓ データ不足,79.7
2026-04-14,ncd243f6ab3c4,ベタベタ・黄ばみ・ヒビ割れ…スマホケースの寿命は“愛用年数”じゃなく科学で決まる！？,216,66,150,50,6,0,12.0,-0.26,0.07,,,,,,,,0.745,❓ データ不足,79.6
2026-04-14,n3f384bcc700c,【衝撃】ワイが組んだAI「調査チーム」の役割分担、ガチでプロの「AI戦略」と完全一致してた件,167,17,150,138,17,0,12.32,-0.24,0.07,,,,,,,,0.74,❓ データ不足,79.6
2026-04-14,n590ba35c7a41,なぜ部下はあの人の言葉で動くのか？ ― マネジメントと生成AIに効く『動かす心理学』,197,47,150,92,19,0,20.65,-0.18,0.36,,,,,,,,0.696,❓ データ不足,79.5
2026-04-14,n348ed9904976,名刺の「箱」で展示会に挑んだ後輩：令和の新人、謎の節約術,202,52,150,51,13,0,25.49,-1.01,0.14,,,,,,,,0.69,❓ データ不足,79.4
2026-04-14,n8307b08e003d,「モジュールってなんだよ！」 理系研究者がAIに裏切られ、初めてのPythonで叫ぶ,196,46,150,99,16,0,16.16,-0.51,0.14,,,,,,,,0.686,❓ データ不足,79.3
2026-04-14,nc29de171f59d,朝ごはんと日光浴のゴールデンコンビ──時間栄養学の視点から,208,58,150,48,6,0,12.5,-2.82,0.07,,,,,,,,0.659,❓ データ不足,78.6
2026-04-14,n3a0a768238a3,AIシェフと学ぶ！プログラミングは「料理のレシピ」と同じだった,210,60,150,67,12,0,17.91,-0.99,0.07,,,,,,,,0.639,❓ データ不足,78.6
2026-04-14,nbb8ac2f5091d,PythonでExcel集計を自動化する3手順,624,474,150,39,4,2,10.26,2.65,0.14,,,,,,,,0.692,❓ データ不足,78.4
2026-04-14,n806a5cdbee60,浴びた光を「見える化」する,218,68,150,55,5,0,9.09,0.42,0.07,,,,,,,,0.735,❓ データ不足,78.1
2026-04-14,nd4d236c6cb27,「明日の朝な！」で動く！優柔不断な部下を強制的に自走させるマネジメント術,190,40,150,144,13,0,9.03,-0.09,0.14,,,,,,,,0.725,❓ データ不足,78.0
2026-04-14,nef0eee72e29d,生成AIで調査チーム作ったら、頼もしすぎる奴らが集まった話,186,36,150,250,23,0,9.2,0.06,0.07,,,,,,,,0.712,❓ データ不足,77.9
2026-04-14,n08c433ea540a,データ分析の最初の敵！Pandasで汚いカラムをクリーンにする五大魔法,189,39,150,180,17,0,9.44,-0.16,0.21,,,,,,,,0.679,❓ データ不足,77.7
2026-04-14,na7053d705ed5,光を避けたい時期だからこそ、光の重要性について書いてみる,262,112,150,49,4,0,8.16,4.06,0.07,,,,,,,,0.777,❓ データ不足,77.6
2026-04-14,n911d43f9e3fa,制作物　仮想通貨の価格取得,469,319,150,47,4,0,8.51,2.62,0.07,,,,,,,,0.721,❓ データ不足,77.4
2026-04-14,ncd12f1fca6d2,自己紹介 Ver.2 ─ 60日後に見えた、自分という構造,163,13,150,311,48,4,15.43,2.15,0.57,,,,,,,,0.565,💤 眠り型,77.2
2026-04-14,na3b1cce5678c,「Excel卒業！Pythonでデータ分析の冒険を始めよう」〜初心者向けマガジン紹介,177,27,150,447,66,4,14.77,-0.64,0.79,,,,,,,,0.569,💤 眠り型,77.2
2026-04-14,nbc8e22ad7cc7,AIが人の話を聞かない夜に──冷蔵庫GPTが教えてくれた“対話設計”の魔法,176,26,150,266,22,0,8.27,0.13,0.07,,,,,,,,0.727,❓ データ不足,77.2
