集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-04-17,nd946a5f905a2,KITAcoreのAI×思考ログへようこそ — プロンプト設計、アート、そして人生のログプレイ,154,1,153,1343,483,27,35.96,13.36,8.79,54.0,21.0,123.0,1.0,7.0,8.0,1.037,0.539,🌲 定常型,94.1
2026-04-17,nd3bf83ee8270,光を浴びるだけで整う〜朝の自然光と“体内リズム”の科学〜,223,70,153,39,4,0,10.26,1.08,0.14,,,,,,,,1.0,❓ データ不足,80.7
2026-04-17,n75c22ba2457f,日光と食事と睡眠の関係について,221,68,153,49,11,0,22.45,-0.02,0.14,,,,,,,,0.795,❓ データ不足,80.6
2026-04-17,nb5da69fd69ff,日光は見えていたのに、見えていなかった,221,68,153,51,10,0,19.61,0.25,0.07,,,,,,,,0.751,❓ データ不足,80.1
2026-04-17,n8324b0d3c243,日光浴の知識が、社内を“小麦色”にした件― 知識の副作用は、笑えるトラブルだった,218,65,153,35,7,0,20.0,1.7,0.14,,,,,,,,0.741,❓ データ不足,80.0
2026-04-17,ncf485b303b59,使い方で、製品寿命が変わる？！,221,68,153,49,6,0,12.24,3.27,0.29,,,,,,,,0.763,❓ データ不足,79.9
2026-04-17,n94da7a52ea24,浴びている光はどこを通じて影響があるのか,222,69,153,55,11,2,20.0,0.65,0.07,,,,,,,,0.73,❓ データ不足,79.9
2026-04-17,n4a8030d105a4,関数電卓から生成AIへ──研究者が体感した“誰でもできる”データ分析時代,215,62,153,120,16,0,13.33,0.26,0.36,,,,,,,,0.742,❓ データ不足,79.8
2026-04-17,n8551a6a14870,生成AIで「調査チーム」を作ってみた〜GPT・Gemini・Grok・Perplexityの役割分担〜,204,51,153,119,17,0,14.29,-2.0,0.21,,,,,,,,0.735,❓ データ不足,79.8
2026-04-17,nf26bbd40f67d,辞書奴隷からAI宇宙旅行へ──論文翻訳の進化史,212,59,153,41,6,0,14.63,0.68,0.07,,,,,,,,0.725,❓ データ不足,79.7
2026-04-17,n26322a0b20c1,太陽に焼かれて死ぬ！？あなたの知らないタイヤ寿命の秘密,217,64,153,35,4,0,11.43,0.96,0.14,,,,,,,,0.769,❓ データ不足,79.7
2026-04-17,ncd243f6ab3c4,ベタベタ・黄ばみ・ヒビ割れ…スマホケースの寿命は“愛用年数”じゃなく科学で決まる！？,219,66,153,50,6,0,12.0,-0.07,0.07,,,,,,,,0.745,❓ データ不足,79.6
2026-04-17,n3f384bcc700c,【衝撃】ワイが組んだAI「調査チーム」の役割分担、ガチでプロの「AI戦略」と完全一致してた件,170,17,153,138,17,0,12.32,-0.25,0.07,,,,,,,,0.74,❓ データ不足,79.6
2026-04-17,n590ba35c7a41,なぜ部下はあの人の言葉で動くのか？ ― マネジメントと生成AIに効く『動かす心理学』,200,47,153,92,19,0,20.65,-0.11,0.29,,,,,,,,0.696,❓ データ不足,79.5
2026-04-17,n348ed9904976,名刺の「箱」で展示会に挑んだ後輩：令和の新人、謎の節約術,205,52,153,51,13,0,25.49,-0.92,0.14,,,,,,,,0.69,❓ データ不足,79.4
2026-04-17,n8307b08e003d,「モジュールってなんだよ！」 理系研究者がAIに裏切られ、初めてのPythonで叫ぶ,199,46,153,99,16,0,16.16,-0.5,0.07,,,,,,,,0.686,❓ データ不足,79.3
2026-04-17,n8859539783be,北向きの給湯器は“日陰者”のヒーローだった！？～故障の原因は、まさかの「愛」の欠如？～,218,65,153,52,5,0,9.62,-0.05,0.14,,,,,,,,0.775,❓ データ不足,79.0
2026-04-17,n59fdf2b8f4ae,良かれと思って水をかけたら逆効果！？──太陽電池パネルの寿命を縮める“意外な習慣”,209,56,153,40,4,0,10.0,2.38,0.21,,,,,,,,0.734,❓ データ不足,78.8
2026-04-17,ne0aee52dc40a,ワンショット型 vs 対話型──AIの使い方を整理してみた,210,57,153,36,4,0,11.11,1.98,0.14,,,,,,,,0.68,❓ データ不足,78.6
2026-04-17,nc29de171f59d,朝ごはんと日光浴のゴールデンコンビ──時間栄養学の視点から,211,58,153,48,6,0,12.5,-2.64,0.07,,,,,,,,0.659,❓ データ不足,78.6
2026-04-17,n3a0a768238a3,AIシェフと学ぶ！プログラミングは「料理のレシピ」と同じだった,213,60,153,67,12,0,17.91,-0.86,0.07,,,,,,,,0.639,❓ データ不足,78.6
2026-04-17,nbb8ac2f5091d,PythonでExcel集計を自動化する3手順,627,474,153,39,4,2,10.26,2.99,0.14,,,,,,,,0.692,❓ データ不足,78.4
2026-04-17,n806a5cdbee60,浴びた光を「見える化」する,221,68,153,56,5,0,8.93,0.59,0.14,,,,,,,,0.74,❓ データ不足,78.0
2026-04-17,nd4d236c6cb27,「明日の朝な！」で動く！優柔不断な部下を強制的に自走させるマネジメント術,193,40,153,144,13,0,9.03,-0.05,0.14,,,,,,,,0.725,❓ データ不足,78.0
2026-04-17,nef0eee72e29d,生成AIで調査チーム作ったら、頼もしすぎる奴らが集まった話,189,36,153,250,23,0,9.2,0.06,0.07,,,,,,,,0.712,❓ データ不足,77.9
2026-04-17,n08c433ea540a,データ分析の最初の敵！Pandasで汚いカラムをクリーンにする五大魔法,192,39,153,180,17,0,9.44,-0.1,0.21,,,,,,,,0.679,❓ データ不足,77.7
2026-04-17,na7053d705ed5,光を避けたい時期だからこそ、光の重要性について書いてみる,265,112,153,49,4,0,8.16,4.46,0.07,,,,,,,,0.777,❓ データ不足,77.6
2026-04-17,n911d43f9e3fa,制作物　仮想通貨の価格取得,472,319,153,47,4,0,8.51,2.93,0.07,,,,,,,,0.721,❓ データ不足,77.4
2026-04-17,ncd12f1fca6d2,自己紹介 Ver.2 ─ 60日後に見えた、自分という構造,166,13,153,312,49,4,15.71,2.14,0.43,,,,,,,,0.564,💤 眠り型,77.2
2026-04-17,na3b1cce5678c,「Excel卒業！Pythonでデータ分析の冒険を始めよう」〜初心者向けマガジン紹介,180,27,153,447,66,4,14.77,-0.65,0.29,,,,,,,,0.569,💤 眠り型,77.2
2026-04-17,nbc8e22ad7cc7,AIが人の話を聞かない夜に──冷蔵庫GPTが教えてくれた“対話設計”の魔法,179,26,153,266,22,0,8.27,0.12,0.07,,,,,,,,0.727,❓ データ不足,77.2
2026-04-17,n658b8cc637f6,働きすぎて死んだ？洗濯機の寿命は“回数”と“熱”で決まる！,219,66,153,75,7,0,9.33,0.89,0.14,,,,,,,,0.649,❓ データ不足,77.2
2026-04-17,n3fbdcd94294e,AIの回答を劇的改善！プロンプトの型と時短テクニック,203,50,153,61,5,0,8.2,1.75,0.07,,,,,,,,0.727,❓ データ不足,77.1
2026-04-17,nb22642a2ee59,【簡易版】Platformは、なぜ推しのアルゴリズムを公開したのか。,55,6,51,449,47,17,10.47,-0.16,0.29,,,,,,,,0.597,💤 眠り型,77.0
2026-04-17,n26a2d7839528,Python環境構築は恋愛だった！？〜初学者エンジニアが辿り着いた、ゆるふわPythonライフ〜,206,53,153,113,12,0,10.62,-1.5,0.21,,,,,,,,0.597,❓ データ不足,77.0
2026-04-17,n5557170c31bb,会議あるある：現状維持バリアマン攻略法,213,60,153,34,5,0,14.71,0.32,0.14,,,,,,,,0.56,❓ データ不足,77.0
2026-04-17,n163696d4f163,「人気の壁」を越える条件とは？──データ分析で見えた“自走するSNS”の法則,168,15,153,135,10,0,7.41,-0.15,0.07,,,,,,,,0.783,❓ データ不足,76.5
2026-04-17,nbca407b2fd33,生成AIは“知財担当の恋人”になれるか？ 特許文献を日本語に戻す読み解きガイド,207,54,153,37,3,0,8.11,1.9,0.07,,,,,,,,0.68,❓ データ不足,76.4
2026-04-17,n6f95c764bc62,「量産って……値下げ交渉じゃないのかよッ！？」,222,69,153,33,4,0,12.12,1.01,0.07,,,,,,,,0.538,❓ データ不足,76.3
2026-04-17,n359e812b0ab5,バイオリンプロットって、データ界の“楽団リーダー”やった話,164,11,153,190,15,0,7.89,-0.87,0.14,,,,,,,,0.685,❓ データ不足,76.1
2026-04-17,n0c9b355a99c9,"AIに心を支配されない方法：「道具」として使いこなすための""疑いながら使う""成熟の境界線",158,5,153,260,26,0,10.0,-0.95,0.07,,,,,,,,0.562,❓ データ不足,76.0
2026-04-17,n010c671b5d53,「Context Engineering 2.0」論文の独自解釈,160,7,153,141,12,0,8.51,-0.28,0.14,,,,,,,,0.612,❓ データ不足,75.8
2026-04-17,n876dd0c9e114,生成AIを「考える相棒」にする──対話型で思考を深める使い方,384,231,153,95,9,7,9.47,2.1,0.5,,,,,,,,0.567,❓ データ不足,75.8
2026-04-17,n7540136bf03c,srefってなんや！？魔法か？──構造じゃなく“演奏”でMidjourneyが描く世界,162,9,153,159,13,0,8.18,0.3,0.21,,,,,,,,0.635,❓ データ不足,75.8
